station_id,cluster,center_distance
1241,1,0.05092859473366974
1242,2,0.05983165172240213
1243,1,0.05714365959917797
1244,1,0.023870845348535567
1245,2,0.11154452515796784
1246,1,0.07211129368111906
1248,1,0.037047425321885805
1249,1,0.0315098858710558
1250,2,0.10066685336826191
1321,1,0.07071557475549914
1322,1,0.06691156414433681
1323,1,0.04183152936446443
1324,1,0.04028136496055851
1325,2,0.050104548541351476
1326,2,0.05222287095468217
1329,2,0.027117430330456282
1331,2,0.034393605353241125
1333,2,0.11159708621789781
1338,2,0.06600842989963997
1339,2,0.08542161646125088
1622,2,0.10575696904886407
1624,1,0.02693997956687531
1625,1,0.10797055922317339
1626,1,0.0811065555031021
1627,1,0.05640750081446738
1628,1,0.08120049484535767
1629,1,0.0666662894889351
1630,1,0.14361747993825733
1631,1,0.10902925533799368
1632,1,0.11043878829778112
1633,2,0.10938930624726657
2001,1,0.04260396906864467
2002,2,0.06087613019958974
2003,2,0.054476889698936146
2004,1,0.04509917538164665
2005,2,0.06232693010467541
2006,2,0.08562774813166736
2007,2,0.06101279466419375
2008,2,0.03784999036821146
2009,2,0.07050598110889734
2010,2,0.03261400564767941
2011,1,0.023073964769472474
2012,2,0.14986847286550545
2013,2,0.06865334407524076
2014,2,0.0806077211204656
2015,2,0.0441370077036142
2016,1,0.06426097760802209
2017,2,0.052583157224747316
2018,2,0.05771358183276866
2019,2,0.09170141732905629
2020,2,0.034564739772224844
2021,2,0.0691172488550445
2022,1,0.07219680162902234
2023,1,0.05867042375871639
2024,1,0.06608989373634008
2025,2,0.06750328116850914
2026,2,0.09604016605660592
2027,1,0.05329494108595519
2028,2,0.07838244965909812
2029,2,0.03942342309560345
2030,2,0.05492466980480639
2031,2,0.03826266820034586
2032,2,0.028222834243029554
2033,2,0.026406407045223807
2034,2,0.06530932309101489
2035,2,0.08811186551895793
2036,2,0.046281619009221155
2037,2,0.027130559724181758
2038,2,0.043893096273042546
2039,2,0.06666612266887896
2040,2,0.07109267797859087
2041,2,0.08459968873192189
2042,2,0.07622119316412437
2043,2,0.06378954796323763
2044,2,0.019037283888555672
2045,2,0.06810027870957631
2046,2,0.034269853169400954
