日期,工作日标记,人次,筛选范围,站点范围,日期类型,有效日期数
2017-08-13,0,4162328,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-14,1,6867107,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-15,1,6906344,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-16,1,6967053,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-17,1,6925050,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-18,1,7204497,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-19,0,4813076,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-20,0,4140824,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-21,1,6913955,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-22,1,7013910,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-23,1,6901810,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-24,1,6828865,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-25,1,7000698,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-26,0,4928178,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-27,0,4386773,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-28,1,7138487,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-29,1,6722829,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-30,1,6879513,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-31,1,6849303,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
